 80 81 6480
 3.534292e+00 9.526057e-01 -1.414121e-01 -9.899508e-01
 3.534292e+00 9.605539e-01 -1.295999e-01 -9.915664e-01
 3.534292e+00 9.678008e-01 -1.188138e-01 -9.929166e-01
 3.534292e+00 9.743353e-01 -1.090760e-01 -9.940334e-01
 3.534292e+00 9.801474e-01 -1.004058e-01 -9.949466e-01
 3.534292e+00 9.852283e-01 -9.282003e-02 -9.956829e-01
 3.534292e+00 9.895703e-01 -8.633320e-02 -9.962663e-01
 3.534292e+00 9.931668e-01 -8.095739e-02 -9.967176e-01
 3.534292e+00 9.960123e-01 -7.670250e-02 -9.970540e-01
 3.534292e+00 9.981023e-01 -7.357627e-02 -9.972896e-01
 3.534292e+00 9.994337e-01 -7.158454e-02 -9.974345e-01
 3.534292e+00 1.000000e+00 -7.073720e-02 -9.974950e-01
 3.612832e+00 0.000000e+00 -1.000000e+00 4.610258e-13
 3.612832e+00 5.663271e-04 -9.999996e-01 -8.494906e-04
 3.612832e+00 1.897659e-03 -9.999959e-01 -2.846484e-03
 3.612832e+00 3.987723e-03 -9.999821e-01 -5.981548e-03
 3.612832e+00 6.833174e-03 -9.999475e-01 -1.024958e-02
 3.612832e+00 1.042965e-02 -9.998776e-01 -1.564384e-02
 3.612832e+00 1.477167e-02 -9.997545e-01 -2.215569e-02
 3.612832e+00 1.985261e-02 -9.995566e-01 -2.977452e-02
 3.612832e+00 2.566475e-02 -9.992591e-01 -3.848761e-02
 3.612832e+00 3.219921e-02 -9.988338e-01 -4.828004e-02
 3.612832e+00 3.944606e-02 -9.982500e-01 -5.913458e-02
 3.612832e+00 4.739426e-02 -9.974741e-01 -7.103152e-02
 3.612832e+00 5.603170e-02 -9.964701e-01 -8.394864e-02
 3.612832e+00 6.534524e-02 -9.952001e-01 -9.786098e-02
 3.612832e+00 7.532068e-02 -9.936244e-01 -1.127408e-01
 3.612832e+00 8.594284e-02 -9.917021e-01 -1.285575e-01
 3.612832e+00 9.719553e-02 -9.893910e-01 -1.452774e-01
 3.612832e+00 1.090616e-01 -9.866486e-01 -1.628637e-01
 3.612832e+00 1.215231e-01 -9.834321e-01 -1.812768e-01
 3.612832e+00 1.345609e-01 -9.796991e-01 -2.004736e-01
 3.612832e+00 1.481552e-01 -9.754078e-01 -2.204080e-01
 3.612832e+00 1.622853e-01 -9.705174e-01 -2.410309e-01
 3.612832e+00 1.769297e-01 -9.649891e-01 -2.622900e-01
 3.612832e+00 1.920660e-01 -9.587857e-01 -2.841301e-01
 3.612832e+00 2.076713e-01 -9.518728e-01 -3.064934e-01
 3.612832e+00 2.237218e-01 -9.442186e-01 -3.293194e-01
 3.612832e+00 2.401930e-01 -9.357948e-01 -3.525451e-01
 3.612832e+00 2.570598e-01 -9.265768e-01 -3.761056e-01
 3.612832e+00 2.742966e-01 -9.165439e-01 -3.999341e-01
 3.612832e+00 2.918771e-01 -9.056799e-01 -4.239622e-01
 3.612832e+00 3.097746e-01 -8.939731e-01 -4.481205e-01
 3.612832e+00 3.279617e-01 -8.814170e-01 -4.723390e-01
 3.612832e+00 3.464108e-01 -8.680098e-01 -4.965470e-01
 3.612832e+00 3.650938e-01 -8.537553e-01 -5.206744e-01
 3.612832e+00 3.839822e-01 -8.386626e-01 -5.446514e-01
 3.612832e+00 4.030474e-01 -8.227460e-01 -5.684092e-01
 3.612832e+00 4.222601e-01 -8.060256e-01 -5.918807e-01
 3.612832e+00 4.415913e-01 -7.885265e-01 -6.150007e-01
 3.612832e+00 4.610114e-01 -7.702795e-01 -6.377065e-01
 3.612832e+00 4.804908e-01 -7.513201e-01 -6.599380e-01
 3.612832e+00 5.000000e-01 -7.316889e-01 -6.816388e-01
 3.612832e+00 5.195092e-01 -7.114311e-01 -7.027558e-01
 3.612832e+00 5.389886e-01 -6.905964e-01 -7.232403e-01
 3.612832e+00 5.584087e-01 -6.692383e-01 -7.430478e-01
 3.612832e+00 5.777399e-01 -6.474141e-01 -7.621385e-01
 3.612832e+00 5.969526e-01 -6.251841e-01 -7.804773e-01
 3.612832e+00 6.160178e-01 -6.026117e-01 -7.980346e-01
 3.612832e+00 6.349062e-01 -5.797624e-01 -8.147856e-01
 3.612832e+00 6.535892e-01 -5.567038e-01 -8.307111e-01
 3.612832e+00 6.720383e-01 -5.335047e-01 -8.457971e-01
 3.612832e+00 6.902254e-01 -5.102351e-01 -8.600349e-01
 3.612832e+00 7.081229e-01 -4.869654e-01 -8.734212e-01
 3.612832e+00 7.257034e-01 -4.637660e-01 -8.859577e-01
 3.612832e+00 7.429402e-01 -4.407069e-01 -8.976510e-01
 3.612832e+00 7.598070e-01 -4.178575e-01 -9.085126e-01
 3.612832e+00 7.762782e-01 -3.952858e-01 -9.185582e-01
 3.612832e+00 7.923287e-01 -3.730585e-01 -9.278078e-01
 3.612832e+00 8.079340e-01 -3.512402e-01 -9.362854e-01
 3.612832e+00 8.230703e-01 -3.298936e-01 -9.440181e-01
 3.612832e+00 8.377147e-01 -3.090788e-01 -9.510364e-01
 3.612832e+00 8.518448e-01 -2.888535e-01 -9.573733e-01
 3.612832e+00 8.654391e-01 -2.692726e-01 -9.630640e-01
 3.612832e+00 8.784769e-01 -2.503879e-01 -9.681456e-01
 3.612832e+00 8.909384e-01 -2.322485e-01 -9.726565e-01
 3.612832e+00 9.028045e-01 -2.149002e-01 -9.766360e-01
 3.612832e+00 9.140572e-01 -1.983857e-01 -9.801240e-01
 3.612832e+00 9.246793e-01 -1.827446e-01 -9.831604e-01
 3.612832e+00 9.346548e-01 -1.680135e-01 -9.857847e-01
 3.612832e+00 9.439683e-01 -1.542259e-01 -9.880356e-01
 3.612832e+00 9.526057e-01 -1.414121e-01 -9.899508e-01
 3.612832e+00 9.605539e-01 -1.295999e-01 -9.915664e-01
 3.612832e+00 9.678008e-01 -1.188138e-01 -9.929166e-01
 3.612832e+00 9.743353e-01 -1.090760e-01 -9.940334e-01
 3.612832e+00 9.801474e-01 -1.004058e-01 -9.949466e-01
 3.612832e+00 9.852283e-01 -9.282003e-02 -9.956829e-01
 3.612832e+00 9.895703e-01 -8.633320e-02 -9.962663e-01
 3.612832e+00 9.931668e-01 -8.095739e-02 -9.967176e-01
 3.612832e+00 9.960123e-01 -7.670250e-02 -9.970540e-01
 3.612832e+00 9.981023e-01 -7.357627e-02 -9.972896e-01
 3.612832e+00 9.994337e-01 -7.158454e-02 -9.974345e-01
 3.612832e+00 1.000000e+00 -7.073720e-02 -9.974950e-01
 3.691371e+00 0.000000e+00 -1.000000e+00 4.610258e-13
 3.691371e+00 5.663271e-04 -9.999996e-01 -8.494906e-04
 3.691371e+00 1.897659e-03 -9.999959e-01 -2.846484e-03
 3.691371e+00 3.987723e-03 -9.999821e-01 -5.981548e-03
 3.691371e+00 6.833174e-03 -9.999475e-01 -1.024958e-02
 3.691371e+00 1.042965e-02 -9.998776e-01 -1.564384e-02
 3.691371e+00 1.477167e-02 -9.997545e-01 -2.215569e-02
 3.691371e+00 1.985261e-02 -9.995566e-01 -2.977452e-02
 3.691371e+00 2.566475e-02 -9.992591e-01 -3.848761e-02
 3.691371e+00 3.219921e-02 -9.988338e-01 -4.828004e-02
 3.691371e+00 3.944606e-02 -9.982500e-01 -5.913458e-02
 3.691371e+00 4.739426e-02 -9.974741e-01 -7.103152e-02
 3.691371e+00 5.603170e-02 -9.964701e-01 -8.394864e-02
 3.691371e+00 6.534524e-02 -9.952001e-01 -9.786098e-02
 3.691371e+00 7.532068e-02 -9.936244e-01 -1.127408e-01
 3.691371e+00 8.594284e-02 -9.917021e-01 -1.285575e-01
 3.691371e+00 9.719553e-02 -9.893910e-01 -1.452774e-01
 3.691371e+00 1.090616e-01 -9.866486e-01 -1.628637e-01
 3.691371e+00 1.215231e-01 -9.834321e-01 -1.812768e-01
 3.691371e+00 1.345609e-01 -9.796991e-01 -2.004736e-01
 3.691371e+00 1.481552e-01 -9.754078e-01 -2.204080e-01
 3.691371e+00 1.622853e-01 -9.705174e-01 -2.410309e-01
 3.691371e+00 1.769297e-01 -9.649891e-01 -2.622900e-01
 3.691371e+00 1.920660e-01 -9.587857e-01 -2.841301e-01
 3.691371e+00 2.076713e-01 -9.518728e-01 -3.064934e-01
 3.691371e+00 2.237218e-01 -9.442186e-01 -3.293194e-01
 3.691371e+00 2.401930e-01 -9.357948e-01 -3.525451e-01
 3.691371e+00 2.570598e-01 -9.265768e-01 -3.761056e-01
 3.691371e+00 2.742966e-01 -9.165439e-01 -3.999341e-01
 3.691371e+00 2.918771e-01 -9.056799e-01 -4.239622e-01
 3.691371e+00 3.097746e-01 -8.939731e-01 -4.481205e-01
 3.691371e+00 3.279617e-01 -8.814170e-01 -4.723390e-01
 3.691371e+00 3.464108e-01 -8.680098e-01 -4.965470e-01
 3.691371e+00 3.650938e-01 -8.537553e-01 -5.206744e-01
 3.691371e+00 3.839822e-01 -8.386626e-01 -5.446514e-01
 3.691371e+00 4.030474e-01 -8.227460e-01 -5.684092e-01
 3.691371e+00 4.222601e-01 -8.060256e-01 -5.918807e-01
 3.691371e+00 4.415913e-01 -7.885265e-01 -6.150007e-01
 3.691371e+00 4.610114e-01 -7.702795e-01 -6.377065e-01
 3.691371e+00 4.804908e-01 -7.513201e-01 -6.599380e-01
 3.691371e+00 5.000000e-01 -7.316889e-01 -6.816388e-01
 3.691371e+00 5.195092e-01 -7.114311e-01 -7.027558e-01
 3.691371e+00 5.389886e-01 -6.905964e-01 -7.232403e-01
 3.691371e+00 5.584087e-01 -6.692383e-01 -7.430478e-01
 3.691371e+00 5.777399e-01 -6.474141e-01 -7.621385e-01
 3.691371e+00 5.969526e-01 -6.251841e-01 -7.804773e-01
 3.691371e+00 6.160178e-01 -6.026117e-01 -7.980346e-01
 3.691371e+00 6.349062e-01 -5.797624e-01 -8.147856e-01
 3.691371e+00 6.535892e-01 -5.567038e-01 -8.307111e-01
 3.691371e+00 6.720383e-01 -5.335047e-01 -8.457971e-01
 3.691371e+00 6.902254e-01 -5.102351e-01 -8.600349e-01
 3.691371e+00 7.081229e-01 -4.869654e-01 -8.734212e-01
 3.691371e+00 7.257034e-01 -4.637660e-01 -8.859577e-01
 3.691371e+00 7.429402e-01 -4.407069e-01 -8.976510e-01
 3.691371e+00 7.598070e-01 -4.178575e-01 -9.085126e-01
 3.691371e+00 7.762782e-01 -3.952858e-01 -9.185582e-01
 3.691371e+00 7.923287e-01 -3.730585e-01 -9.278078e-01
 3.691371e+00 8.079340e-01 -3.512402e-01 -9.362854e-01
 3.691371e+00 8.230703e-01 -3.298936e-01 -9.440181e-01
 3.691371e+00 8.377147e-01 -3.090788e-01 -9.510364e-01
 3.691371e+00 8.518448e-01 -2.888535e-01 -9.573733e-01
 3.691371e+00 8.654391e-01 -2.692726e-01 -9.630640e-01
 3.691371e+00 8.784769e-01 -2.503879e-01 -9.681456e-01
 3.691371e+00 8.909384e-01 -2.322485e-01 -9.726565e-01
 3.691371e+00 9.028045e-01 -2.149002e-01 -9.766360e-01
 3.691371e+00 9.140572e-01 -1.983857e-01 -9.801240e-01
 3.691371e+00 9.246793e-01 -1.827446e-01 -9.831604e-01
 3.691371e+00 9.346548e-01 -1.680135e-01 -9.857847e-01
 3.691371e+00 9.439683e-01 -1.542259e-01 -9.880356e-01
 3.691371e+00 9.526057e-01 -1.414121e-01 -9.899508e-01
 3.691371e+00 9.605539e-01 -1.295999e-01 -9.915664e-01
 3.691371e+00 9.678008e-01 -1.188138e-01 -9.929166e-01
 3.691371e+00 9.743353e-01 -1.090760e-01 -9.940334e-01
 3.691371e+00 9.801474e-01 -1.004058e-01 -9.949466e-01
 3.691371e+00 9.852283e-01 -9.282003e-02 -9.956829e-01
 3.691371e+00 9.895703e-01 -8.633320e-02 -9.962663e-01
 3.691371e+00 9.931668e-01 -8.095739e-02 -9.967176e-01
 3.691371e+00 9.960123e-01 -7.670250e-02 -9.970540e-01
 3.691371e+00 9.981023e-01 -7.357627e-02 -9.972896e-01
 3.691371e+00 9.994337e-01 -7.158454e-02 -9.974345e-01
 3.691371e+00 1.000000e+00 -7.073720e-02 -9.974950e-01
 3.769911e+00 0.000000e+00 -1.000000e+00 4.610258e-13
 3.769911e+00 5.663271e-04 -9.999996e-01 -8.494906e-04
 3.769911e+00 1.897659e-03 -9.999959e-01 -2.846484e-03
 3.769911e+00 3.987723e-03 -9.999821e-01 -5.981548e-03
 3.769911e+00 6.833174e-03 -9.999475e-01 -1.024958e-02
 3.769911e+00 1.042965e-02 -9.998776e-01 -1.564384e-02
 3.769911e+00 1.477167e-02 -9.997545e-01 -2.215569e-02
 3.769911e+00 1.985261e-02 -9.995566e-01 -2.977452e-02
 3.769911e+00 2.566475e-02 -9.992591e-01 -3.848761e-02
 3.769911e+00 3.219921e-02 -9.988338e-01 -4.828004e-02
 3.769911e+00 3.944606e-02 -9.982500e-01 -5.913458e-02
 3.769911e+00 4.739426e-02 -9.974741e-01 -7.103152e-02
 3.769911e+00 5.603170e-02 -9.964701e-01 -8.394864e-02
 3.769911e+00 6.534524e-02 -9.952001e-01 -9.786098e-02
 3.769911e+00 7.532068e-02 -9.936244e-01 -1.127408e-01
 3.769911e+00 8.594284e-02 -9.917021e-01 -1.285575e-01
 3.769911e+00 9.719553e-02 -9.893910e-01 -1.452774e-01
 3.769911e+00 1.090616e-01 -9.866486e-01 -1.628637e-01
 3.769911e+00 1.215231e-01 -9.834321e-01 -1.812768e-01
 3.769911e+00 1.345609e-01 -9.796991e-01 -2.004736e-01
 3.769911e+00 1.481552e-01 -9.754078e-01 -2.204080e-01
 3.769911e+00 1.622853e-01 -9.705174e-01 -2.410309e-01
 3.769911e+00 1.769297e-01 -9.649891e-01 -2.622900e-01
 3.769911e+00 1.920660e-01 -9.587857e-01 -2.841301e-01
 3.769911e+00 2.076713e-01 -9.518728e-01 -3.064934e-01
 3.769911e+00 2.237218e-01 -9.442186e-01 -3.293194e-01
 3.769911e+00 2.401930e-01 -9.357948e-01 -3.525451e-01
 3.769911e+00 2.570598e-01 -9.265768e-01 -3.761056e-01
 3.769911e+00 2.742966e-01 -9.165439e-01 -3.999341e-01
 3.769911e+00 2.918771e-01 -9.056799e-01 -4.239622e-01
 3.769911e+00 3.097746e-01 -8.939731e-01 -4.481205e-01
 3.769911e+00 3.279617e-01 -8.814170e-01 -4.723390e-01
 3.769911e+00 3.464108e-01 -8.680098e-01 -4.965470e-01
 3.769911e+00 3.650938e-01 -8.537553e-01 -5.206744e-01
 3.769911e+00 3.839822e-01 -8.386626e-01 -5.446514e-01
 3.769911e+00 4.030474e-01 -8.227460e-01 -5.684092e-01
 3.769911e+00 4.222601e-01 -8.060256e-01 -5.918807e-01
 3.769911e+00 4.415913e-01 -7.885265e-01 -6.150007e-01
 3.769911e+00 4.610114e-01 -7.702795e-01 -6.377065e-01
 3.769911e+00 4.804908e-01 -7.513201e-01 -6.599380e-01
 3.769911e+00 5.000000e-01 -7.316889e-01 -6.816388e-01
 3.769911e+00 5.195092e-01 -7.114311e-01 -7.027558e-01
 3.769911e+00 5.389886e-01 -6.905964e-01 -7.232403e-01
 3.769911e+00 5.584087e-01 -6.692383e-01 -7.430478e-01
 3.769911e+00 5.777399e-01 -6.474141e-01 -7.621385e-01
 3.769911e+00 5.969526e-01 -6.251841e-01 -7.804773e-01
 3.769911e+00 6.160178e-01 -6.026117e-01 -7.980346e-01
 3.769911e+00 6.349062e-01 -5.797624e-01 -8.147856e-01
 3.769911e+00 6.535892e-01 -5.567038e-01 -8.307111e-01
 3.769911e+00 6.720383e-01 -5.335047e-01 -8.457971e-01
 3.769911e+00 6.902254e-01 -5.102351e-01 -8.600349e-01
 3.769911e+00 7.081229e-01 -4.869654e-01 -8.734212e-01
 3.769911e+00 7.257034e-01 -4.637660e-01 -8.859577e-01
 3.769911e+00 7.429402e-01 -4.407069e-01 -8.976510e-01
 3.769911e+00 7.598070e-01 -4.178575e-01 -9.085126e-01
 3.769911e+00 7.762782e-01 -3.952858e-01 -9.185582e-01
 3.769911e+00 7.923287e-01 -3.730585e-01 -9.278078e-01
 3.769911e+00 8.079340e-01 -3.512402e-01 -9.362854e-01
 3.769911e+00 8.230703e-01 -3.298936e-01 -9.440181e-01
 3.769911e+00 8.377147e-01 -3.090788e-01 -9.510364e-01
 3.769911e+00 8.518448e-01 -2.888535e-01 -9.573733e-01
 3.769911e+00 8.654391e-01 -2.692726e-01 -9.630640e-01
 3.769911e+00 8.784769e-01 -2.503879e-01 -9.681456e-01
 3.769911e+00 8.909384e-01 -2.322485e-01 -9.726565e-01
 3.769911e+00 9.028045e-01 -2.149002e-01 -9.766360e-01
 3.769911e+00 9.140572e-01 -1.983857e-01 -9.801240e-01
 3.769911e+00 9.246793e-01 -1.827446e-01 -9.831604e-01
 3.769911e+00 9.346548e-01 -1.680135e-01 -9.857847e-01
 3.769911e+00 9.439683e-01 -1.542259e-01 -9.880356e-01
 3.769911e+00 9.526057e-01 -1.414121e-01 -9.899508e-01
 3.769911e+00 9.605539e-01 -1.295999e-01 -9.915664e-01
 3.769911e+00 9.678008e-01 -1.188138e-01 -9.929166e-01
 3.769911e+00 9.743353e-01 -1.090760e-01 -9.940334e-01
 3.769911e+00 9.801474e-01 -1.004058e-01 -9.949466e-01
 3.769911e+00 9.852283e-01 -9.282003e-02 -9.956829e-01
 3.769911e+00 9.895703e-01 -8.633320e-02 -9.962663e-01
 3.769911e+00 9.931668e-01 -8.095739e-02 -9.967176e-01
 3.769911e+00 9.960123e-01 -7.670250e-02 -9.970540e-01
 3.769911e+00 9.981023e-01 -7.357627e-02 -9.972896e-01
 3.769911e+00 9.994337e-01 -7.158454e-02 -9.974345e-01
 3.769911e+00 1.000000e+00 -7.073720e-02 -9.974950e-01
 3.848451e+00 0.000000e+00 -1.000000e+00 4.610258e-13
 3.848451e+00 5.663271e-04 -9.999996e-01 -8.494906e-04
 3.848451e+00 1.897659e-03 -9.999959e-01 -2.846484e-03
 3.848451e+00 3.987723e-03 -9.999821e-01 -5.981548e-03
 3.848451e+00 6.833174e-03 -9.999475e-01 -1.024958e-02
 3.848451e+00 1.042965e-02 -9.998776e-01 -1.564384e-02
 3.848451e+00 1.477167e-02 -9.997545e-01 -2.215569e-02
 3.848451e+00 1.985261e-02 -9.995566e-01 -2.977452e-02
 3.848451e+00 2.566475e-02 -9.992591e-01 -3.848761e-02
 3.848451e+00 3.219921e-02 -9.988338e-01 -4.828004e-02
 3.848451e+00 3.944606e-02 -9.982500e-01 -5.913458e-02
 3.848451e+00 4.739426e-02 -9.974741e-01 -7.103152e-02
 3.848451e+00 5.603170e-02 -9.964701e-01 -8.394864e-02
 3.848451e+00 6.534524e-02 -9.952001e-01 -9.786098e-02
 3.848451e+00 7.532068e-02 -9.936244e-01 -1.127408e-01
 3.848451e+00 8.594284e-02 -9.917021e-01 -1.285575e-01
 3.848451e+00 9.719553e-02 -9.893910e-01 -1.452774e-01
 3.848451e+00 1.090616e-01 -9.866486e-01 -1.628637e-01
 3.848451e+00 1.215231e-01 -9.834321e-01 -1.812768e-01
 3.848451e+00 1.345609e-01 -9.796991e-01 -2.004736e-01
 3.848451e+00 1.481552e-01 -9.754078e-01 -2.204080e-01
 3.848451e+00 1.622853e-01 -9.705174e-01 -2.410309e-01
 3.848451e+00 1.769297e-01 -9.649891e-01 -2.622900e-01
 3.848451e+00 1.920660e-01 -9.587857e-01 -2.841301e-01
 3.848451e+00 2.076713e-01 -9.518728e-01 -3.064934e-01
 3.848451e+00 2.237218e-01 -9.442186e-01 -3.293194e-01
 3.848451e+00 2.401930e-01 -9.357948e-01 -3.525451e-01
 3.848451e+00 2.570598e-01 -9.265768e-01 -3.761056e-01
 3.848451e+00 2.742966e-01 -9.165439e-01 -3.999341e-01
 3.848451e+00 2.918771e-01 -9.056799e-01 -4.239622e-01
 3.848451e+00 3.097746e-01 -8.939731e-01 -4.481205e-01
 3.848451e+00 3.279617e-01 -8.814170e-01 -4.723390e-01
 3.848451e+00 3.464108e-01 -8.680098e-01 -4.965470e-01
 3.848451e+00 3.650938e-01 -8.537553e-01 -5.206744e-01
 3.848451e+00 3.839822e-01 -8.386626e-01 -5.446514e-01
 3.848451e+00 4.030474e-01 -8.227460e-01 -5.684092e-01
 3.848451e+00 4.222601e-01 -8.060256e-01 -5.918807e-01
 3.848451e+00 4.415913e-01 -7.885265e-01 -6.150007e-01
 3.848451e+00 4.610114e-01 -7.702795e-01 -6.377065e-01
 3.848451e+00 4.804908e-01 -7.513201e-01 -6.599380e-01
 3.848451e+00 5.000000e-01 -7.316889e-01 -6.816388e-01
 3.848451e+00 5.195092e-01 -7.114311e-01 -7.027558e-01
 3.848451e+00 5.389886e-01 -6.905964e-01 -7.232403e-01
 3.848451e+00 5.584087e-01 -6.692383e-01 -7.430478e-01
 3.848451e+00 5.777399e-01 -6.474141e-01 -7.621385e-01
 3.848451e+00 5.969526e-01 -6.251841e-01 -7.804773e-01
 3.848451e+00 6.160178e-01 -6.026117e-01 -7.980346e-01
 3.848451e+00 6.349062e-01 -5.797624e-01 -8.147856e-01
 3.848451e+00 6.535892e-01 -5.567038e-01 -8.307111e-01
 3.848451e+00 6.720383e-01 -5.335047e-01 -8.457971e-01
 3.848451e+00 6.902254e-01 -5.102351e-01 -8.600349e-01
 3.848451e+00 7.081229e-01 -4.869654e-01 -8.734212e-01
 3.848451e+00 7.257034e-01 -4.637660e-01 -8.859577e-01
 3.848451e+00 7.429402e-01 -4.407069e-01 -8.976510e-01
 3.848451e+00 7.598070e-01 -4.178575e-01 -9.085126e-01
 3.848451e+00 7.762782e-01 -3.952858e-01 -9.185582e-01
 3.848451e+00 7.923287e-01 -3.730585e-01 -9.278078e-01
 3.848451e+00 8.079340e-01 -3.512402e-01 -9.362854e-01
 3.848451e+00 8.230703e-01 -3.298936e-01 -9.440181e-01
 3.848451e+00 8.377147e-01 -3.090788e-01 -9.510364e-01
 3.848451e+00 8.518448e-01 -2.888535e-01 -9.573733e-01
 3.848451e+00 8.654391e-01 -2.692726e-01 -9.630640e-01
 3.848451e+00 8.784769e-01 -2.503879e-01 -9.681456e-01
 3.848451e+00 8.909384e-01 -2.322485e-01 -9.726565e-01
 3.848451e+00 9.028045e-01 -2.149002e-01 -9.766360e-01
 3.848451e+00 9.140572e-01 -1.983857e-01 -9.801240e-01
 3.848451e+00 9.246793e-01 -1.827446e-01 -9.831604e-01
 3.848451e+00 9.346548e-01 -1.680135e-01 -9.857847e-01
 3.848451e+00 9.439683e-01 -1.542259e-01 -9.880356e-01
 3.848451e+00 9.526057e-01 -1.414121e-01 -9.899508e-01
 3.848451e+00 9.605539e-01 -1.295999e-01 -9.915664e-01
 3.848451e+00 9.678008e-01 -1.188138e-01 -9.929166e-01
 3.848451e+00 9.743353e-01 -1.090760e-01 -9.940334e-01
 3.848451e+00 9.801474e-01 -1.004058e-01 -9.949466e-01
 3.848451e+00 9.852283e-01 -9.282003e-02 -9.956829e-01
 3.848451e+00 9.895703e-01 -8.633320e-02 -9.962663e-01
 3.848451e+00 9.931668e-01 -8.095739e-02 -9.967176e-01
 3.848451e+00 9.960123e-01 -7.670250e-02 -9.970540e-01
 3.848451e+00 9.981023e-01 -7.357627e-02 -9.972896e-01
 3.848451e+00 9.994337e-01 -7.158454e-02 -9.974345e-01
 3.848451e+00 1.000000e+00 -7.073720e-02 -9.974950e-01
 3.926991e+00 0.000000e+00 -1.000000e+00 4.610258e-13
 3.926991e+00 5.663271e-04 -9.999996e-01 -8.494906e-04
 3.926991e+00 1.897659e-03 -9.999959e-01 -2.846484e-03
 3.926991e+00 3.987723e-03 -9.999821e-01 -5.981548e-03
 3.926991e+00 6.833174e-03 -9.999475e-01 -1.024958e-02
 3.926991e+00 1.042965e-02 -9.998776e-01 -1.564384e-02
 3.926991e+00 1.477167e-02 -9.997545e-01 -2.215569e-02
 3.926991e+00 1.985261e-02 -9.995566e-01 -2.977452e-02
 3.926991e+00 2.566475e-02 -9.992591e-01 -3.848761e-02
 3.926991e+00 3.219921e-02 -9.988338e-01 -4.828004e-02
 3.926991e+00 3.944606e-02 -9.982500e-01 -5.913458e-02
 3.926991e+00 4.739426e-02 -9.974741e-01 -7.103152e-02
 3.926991e+00 5.603170e-02 -9.964701e-01 -8.394864e-02
 3.926991e+00 6.534524e-02 -9.952001e-01 -9.786098e-02
 3.926991e+00 7.532068e-02 -9.936244e-01 -1.127408e-01
 3.926991e+00 8.594284e-02 -9.917021e-01 -1.285575e-01
 3.926991e+00 9.719553e-02 -9.893910e-01 -1.452774e-01
 3.926991e+00 1.090616e-01 -9.866486e-01 -1.628637e-01
 3.926991e+00 1.215231e-01 -9.834321e-01 -1.812768e-01
 3.926991e+00 1.345609e-01 -9.796991e-01 -2.004736e-01
 3.926991e+00 1.481552e-01 -9.754078e-01 -2.204080e-01
 3.926991e+00 1.622853e-01 -9.705174e-01 -2.410309e-01
 3.926991e+00 1.769297e-01 -9.649891e-01 -2.622900e-01
 3.926991e+00 1.920660e-01 -9.587857e-01 -2.841301e-01
 3.926991e+00 2.076713e-01 -9.518728e-01 -3.064934e-01
 3.926991e+00 2.237218e-01 -9.442186e-01 -3.293194e-01
 3.926991e+00 2.401930e-01 -9.357948e-01 -3.525451e-01
 3.926991e+00 2.570598e-01 -9.265768e-01 -3.761056e-01
 3.926991e+00 2.742966e-01 -9.165439e-01 -3.999341e-01
 3.926991e+00 2.918771e-01 -9.056799e-01 -4.239622e-01
 3.926991e+00 3.097746e-01 -8.939731e-01 -4.481205e-01
 3.926991e+00 3.279617e-01 -8.814170e-01 -4.723390e-01
 3.926991e+00 3.464108e-01 -8.680098e-01 -4.965470e-01
 3.926991e+00 3.650938e-01 -8.537553e-01 -5.206744e-01
 3.926991e+00 3.839822e-01 -8.386626e-01 -5.446514e-01
 3.926991e+00 4.030474e-01 -8.227460e-01 -5.684092e-01
 3.926991e+00 4.222601e-01 -8.060256e-01 -5.918807e-01
 3.926991e+00 4.415913e-01 -7.885265e-01 -6.150007e-01
 3.926991e+00 4.610114e-01 -7.702795e-01 -6.377065e-01
 3.926991e+00 4.804908e-01 -7.513201e-01 -6.599380e-01
 3.926991e+00 5.000000e-01 -7.316889e-01 -6.816388e-01
 3.926991e+00 5.195092e-01 -7.114311e-01 -7.027558e-01
 3.926991e+00 5.389886e-01 -6.905964e-01 -7.232403e-01
 3.926991e+00 5.584087e-01 -6.692383e-01 -7.430478e-01
 3.926991e+00 5.777399e-01 -6.474141e-01 -7.621385e-01
 3.926991e+00 5.969526e-01 -6.251841e-01 -7.804773e-01
 3.926991e+00 6.160178e-01 -6.026117e-01 -7.980346e-01
 3.926991e+00 6.349062e-01 -5.797624e-01 -8.147856e-01
 3.926991e+00 6.535892e-01 -5.567038e-01 -8.307111e-01
 3.926991e+00 6.720383e-01 -5.335047e-01 -8.457971e-01
 3.926991e+00 6.902254e-01 -5.102351e-01 -8.600349e-01
 3.926991e+00 7.081229e-01 -4.869654e-01 -8.734212e-01
 3.926991e+00 7.257034e-01 -4.637660e-01 -8.859577e-01
 3.926991e+00 7.429402e-01 -4.407069e-01 -8.976510e-01
 3.926991e+00 7.598070e-01 -4.178575e-01 -9.085126e-01
 3.926991e+00 7.762782e-01 -3.952858e-01 -9.185582e-01
 3.926991e+00 7.923287e-01 -3.730585e-01 -9.278078e-01
 3.926991e+00 8.079340e-01 -3.512402e-01 -9.362854e-01
 3.926991e+00 8.230703e-01 -3.298936e-01 -9.440181e-01
 3.926991e+00 8.377147e-01 -3.090788e-01 -9.510364e-01
 3.926991e+00 8.518448e-01 -2.888535e-01 -9.573733e-01
 3.926991e+00 8.654391e-01 -2.692726e-01 -9.630640e-01
 3.926991e+00 8.784769e-01 -2.503879e-01 -9.681456e-01
